"height_m","com_position","total_length_cm","base_width_cm"
6.27,0.39859760417999,627,175
6.27,0.400580569992489,627,175
6.49,0.393963244999329,649,268
6.49,0.383328100565494,649,268
10.66,0.408726596837519,1066,237
5.52,0.398490834801659,552,160
7.35,0.394389809405053,735,283
8.01,0.405427612878906,801,192
7.73,0.397731169598293,773,250
5.73,0.388955434975573,573,185
5.73,0.393720097735358,573,185
5.73,0.39728862047841,573,185
8.57,0.392175207015106,857,247
5.25,0.391685855927131,525,168
5.76,0.384571649155075,576,276
5.76,0.38550756035584,576,276
7.83,0.397491251735804,783,243
7.83,0.390743532306055,783,243
4.96,0.388855934216438,496,159
8.46,0.406476064599852,846,223
7.42,0.393904162443725,742,254
5.76,0.382108867812465,576,276
